Film,Year,Domestic gross ($m),Worldwide Gross ($m),Rotten Tomatoes  critics,Rotten Tomatoes Audience ,Budget ($m),budget recovered,times budget recovered,force label,critics vs audience divergence, Primary Genre,Genres,IMDB Rating,exclude label,RT vs IMDB disparity,,,,,,,,,,,,,,,,,,,,Distributor,ID
A Man Called Otto,2023,64.2,109.0,70,97,50.0,218%,2.2,,27,,"Comedy, Drama",7.5,,22,,,,,,,,,,,,,,,,,,,,Columbia Pictures,24
Cocaine Bear,2023,64.0,89.3,67,71,35.0,255%,2.6,,4,,"Comedy, Thriller",5.9,,12,,,,,,,,,,,,,,,,,,,,Universal Pictures,23
PAW Patrol,2023,62.0,181.9,80,97,30.0,606%,6.1,,17,,,6.1,,36,,,,,,,,,,,,,,,,,,,,,
Wish,2023,60.9,176.9,48,81,200.0,88%,0.9,,33,,,5.8,,23,,,,,,,,,,,,,,,,,,,,,
Napoleon,2023,60.5,206.9,59,59,200.0,103%,1.0,,0,,,6.6,,-7,,,,,,,,,,,,,,,,,,,,,
Shazam! Fury of the Gods,2023,57.6,132.2,90,82,125.0,106%,1.1,,-8,,"Action, Adventure, Comedy",6.0,,22,,,,,,,,,,,,,,,,,,,,Warner Bros.,26
Migration,2023,54.1,117.5,72,87,72.0,163%,1.6,,15,,,6.9,,18,,,,,,,,,,,,,,,,,,,,,
Saw X,2023,53.6,95,79,89,13,731%,7.3,,10,Horror,,6.7,,22,,,,,,,,,,,,,,,,,,,,,
Air,2023,52.5,89.5,93,98,90.0,99%,1.0,,5,,"Drama, Sport",7.4,,24,,,,,,,,,,,,,,,,,,,,-,27
Jesus Revolution,2023,52.1,53.1,55,99,15.0,354%,3.5,,44,,Drama. ,7.1,,28,,,,,,,,,,,,,,,,,,,,Lionsgate,28
No Hard Feelings,2023,50.4,33.2,71,87,45.0,74%,0.7,,16,,"Comedy, Romance",6.5,,22,,,,,,,,,,,,,,,,,,,,Sony Pictures Entertainment (SPE),29
Talk to Me,2023,48.9,70.7,94,82,4.5,1571%,15.7,,-12,,,7.1,,11,,,,,,,,,,,,,,,,,,,,,
Godzilla Minus One,2023,45.6,69.6,98,98,15.0,464%,4.6,,0,,,8.4,,14,,,,,,,,,,,,,,,,,,,,,
Gran Turismo,2023,44.4,117.8,65,98,60.0,196%,2.0,,33,,,7.2,,26,,,,,,,,,,,,,,,,,,,,,
The Color Purple,2023,44.0,44.0,87,95,100.0,44%,0.4,,8,,,7.8,,17,,,,,,,,,,,,,,,,,,,,,
The Boogeyman,2023,43.3,82.3,62,66,35.0,235%,2.4,,4,,"Horror, Mystery, Thriller",6.1,,5,,,,,,,,,,,,,,,,,,,,Walt Disney Studios Motion Pictures,32
A Haunting in Venice,2023,42.3,113.6,76,77,70.0,162%,1.6,,1,,,6.5,,12,,,,,,,,,,,,,,,,,,,,,
The Creator,2023,40.7,98.7,67,76,80.0,123%,1.2,,9,,,7.1,,5,,,,,,,,,,,,,,,,,,,,,
80 for Brady,2023,39.3,40.3,58,89,28.0,144%,1.4,,31,,"Comedy, Drama, Sport",5.8,,31,,,,,,,,,,,,,,,,,,,,Paramount Pictures,33
80s for Brady,2023,39.3,40.3,58,89,28.0,144%,1.4,,31,,,5.8,,31,,,,,,,,,,,,,,,,,,,,,
Knock at the Cabin,2023,35.4,19.3,67,63,20.0,97%,1.0,,-4,,"Horror, Mystery, Thriller",6.1,,2,,,,,,,,,,,,,,,,,,,,Universal Pictures,34
Missing,2023,32.5,45.1,87,90,7.0,644%,6.4,,3,,"Drama, Mystery, Thriller",7.1,,19,,,,,,,,,,,,,,,,,,,,Sony Pictures Entertainment (SPE),35
Plane,2023,32.1,15.7,78,94,25.0,63%,0.6,,16,,"Action, Adventure, Thriller",6.5,,29,,,,,,,,,,,,,,,,,,,,Lionsgate,36
65,2023,32.0,56.3,34,65,45.0,125%,1.3,,31,,"Action, Adventure, Drama",6.5,,0,,,,,,,,,,,,,,,,,,,,Sony Pictures Entertainment (SPE),37
Thanksgiving,2023,31.8,45.9,83,79,15.0,306%,3.1,,-4,,,6.5,,14,,,,,,,,,,,,,,,,,,,,,
My Big Fat Greek Wedding 3,2023,28.4,37.1,29,72,18.0,206%,2.1,,43,,,5.2,,20,,,,,,,,,,,,,,,,,,,,,
Asteroid City,2023,28.1,47.7,74,62,25.0,191%,1.9,,-12,,"Comedy, Drama, Romance",6.7,,-5,,,,,,,,,,,,,,,,,,,,Focus Features,38
Magic Mike's Last Dance,2023,26.0,56.3,48,73,45.0,125%,1.3,,25,,"Comedy, Drama",5.2,,21,,,,,,,,,,,,,,,,,,,,Warner Bros.,40
Anyone But You,2023,24.8,38.0,53,86,25.0,152%,1.5,,33,,,6.6,,20,,,,,,,,,,,,,,,,,,,,,
Strays,2023,23.9,35.9,53,69,46.0,78%,0.8,,16,,,6.6,,3,,,,,,,,,,,,,,,,,,,,,
The Boys in the Boat,2023,21.9,,56,96,40.0,0%,0.0,,40,,,7.3,,23,,,,,,,,,,,,,,,,,,,,,
Priscilla,2023,20.8,21.2,83,62,20.0,106%,1.1,,-21,,,6.7,,-5,,,,,,,,,,,,,,,,,,,,,
"Are You There God? It's Me, Margaret.",2023,20.4,21.5,99,95,30.0,72%,0.7,,-4,,"Comedy, Drama, Family",7.4,,21,,,,,,,,,,,,,,,,,,,,Lionsgate,41
The Pope's Exorcist,2023,20.0,72.9,49,81,18.0,405%,4.1,,32,,"Horror, Thriller",6.1,,20,,,,,,,,,,,,,,,,,,,,Screen Gems,42
The Holdovers,2023,18.3,19.7,96,91,70.0,28%,0.3,,-5,,,8.0,,11,,,,,,,,,,,,,,,,,,,,,
The Blackening,2023,17.7,17.7,87,85,5.0,354%,3.5,,-2,,"Comedy, Horror, Thriller",6.0,,25,,,,,,,,,,,,,,,,,,,,Lionsgate,43
Book Club: The Next Chapter,2023,17.5,28.2,48,84,20.0,141%,1.4,,36,,Comedy,5.6,,28,,,,,,,,,,,,,,,,,,,,Focus Features,44
Renfield,2023,17.2,26.7,58,79,65.0,41%,0.4,,21,,"Comedy, Fantasy, Horror",6.4,,15,,,,,,,,,,,,,,,,,,,,Universal Pictures,45
The Covenant,2023,16.9,20.4,83,98,55.0,37%,0.4,,15,,"Action, Thriller, War",7.5,,23,,,,,,,,,,,,,,,,,,,,Metro-Goldwyn-Mayer (MGM),46
Expend4bles,2023,16.7,47.0,14,71,100.0,47%,0.5,,57,,,4.8,,23,,,,,,,,,,,,,,,,,,,,,
The Iron Claw,2023,16.4,16.4,89,93,15.9,103%,1.0,,4,,,8.1,,12,,,,,,,,,,,,,,,,,,,,,
"Ruby Gillman, Teenage Kraken",2023,15.7,41.8,65,81,70.0,60%,0.6,,16,,"Animation, Action, Adventure",5.7,,24,,,,,,,,,,,,,,,,,,,,DreamWorks,47
Babylon,2023,15.4,63.3,57,52,110.0,58%,0.6,,-5,,"Comedy, Drama, History",7.2,,-20,,,,,,,,,,,,,,,,,,,,Paramount Pictures,51
Dumb Money,2023,13.9,13.7,84,85,30.0,46%,0.5,,1,,,7.1,YES,14,,,,,,,,,,,,,,,,,,,,,
Joy Ride,2023,12.9,15.0,91,82,32.0,47%,0.5,,-9,,Comedy,6.6,,16,,,,,,,,,,,,,,,,,,,,Lionsgate,48
About My Father,2023,12.1,17.5,35,81,29.0,60%,0.6,,46,,Comedy,5.7,,24,,,,,,,,,,,,,,,,,,,,Lionsgate,49
The Last Voyage of the Demeter,2023,12.0,13.7,51,72,45.0,30%,0.3,,21,,Horror,6.5,,7,,,,,,,,,,,,,,,,,,,,Universal Pictures,60
The Shift,2023,11.9,12.0,39,87,6.4,188%,1.9,,48,,,6.5,,22,,,,,,,,,,,,,,,,,,,,,
Saltburn,2023,11.3,20.3,71,79,20.0,102%,1.0,,8,,,7.2,,7,,,,,,,,,,,,,,,,,,,,,
Ferrari,2023,10.7,19.6,73,73,95.0,21%,0.2,,0,,,6.8,,5,,,,,,,,,,,,,,,,,,,,,
